Name;Village;Category;Google_Rating;Phone;Website;Social;google_maps_link;Specialties;Price;Type;Parking;Outdoor_Seating;Reservations;Season;Extra_Info;Photo
Χαγιάτι καφέ;Πράμαντα;Καφέ-μπαρ;4.6;2659062074;Unavailable;https://www.facebook.com/CafeXagiati/?locale=el_GR;https://maps.app.goo.gl/XmxCMESeRFgLSQNw9;Καφές, τσίπουρο, φυσικοί χυμοί, μπύρα, τσάι;€;;Δημόσιος δρόμος;Ναι;Στις μουσικές βραδιές;Όλο το χρόνο;Σύγχρονο καφενείο στην κεντρική πλατεία με μουσικές βραδιές.;Unavailable
Πλάτανος Καφέ;Πράμαντα;Καφενείο;4.3;2659061922;Unavailable;Unavailable;https://maps.app.goo.gl/XFnvMpATvgUTBJCf8 ;Καφές, τσίπουρο, μπύρα, τσάι;€;;Δημόσιος δρόμος;Ναι;Unavailable;Όλο το χρόνο;Παραδοσιακό καφενείο στην κεντρική πλατεία κάτω από τον πλάτανο.;Unavailable
Ο Μίμης;Πράμαντα;Καφενείο;4.7;2659061449;Unavailable;Unavailable;https://maps.app.goo.gl/V4cxbt67QD2FtJJL9;Καφές, τσίπουρο, μπύρα, τσάι;€;;Δημόσιος δρόμος;Ναι;Unavailable;Όλο το χρόνο;Παραδοσιακό καφενείο στην πάνω πλατεία, ιδανικό για παιδιά το καλοκαίρι.;Unavailable
Γλυκοποιείον;Πράμαντα;Ζαχαροπλαστείο-καφέ;4.1;6978233229;Unavailable;https://www.facebook.com/GlykopoieionTragoudaras/?locale=el_GR;https://maps.app.goo.gl/UtDZJhfGzMsLFS7A6;Γλυκό, καφές, τσίπουρο, μπύρα, τσάι, κρέπα, ποτό;€;;Δημόσιος δρόμος;Ναι;Όχι;Όλο το χρόνο;Φρέσκα γλυκά του Λάμπρου που συνοδεύουν τον καφέ.;Unavailable
Cafe Ανεμότρυπα;Πράμαντα;Καφενείο;4.4;2659061124;Unavailable;Unavailable;https://maps.app.goo.gl/e41MwUBDVCXC17Du9;Καφές, τσίπουρο, μπύρα, τσάι;€;;Ναι;Ναι;Όχι;Όλο το χρόνο;Όμορφο καφενείο πάνω από το σπήλαιο Ανεμότρυπας.;Unavailable
Café Bar Bouzas;Χρηστοί;Καφέ-μπαρ;4.9;6985011472;Unavailable;https://www.facebook.com/profile.php?id=100054467170833# ;https://maps.app.goo.gl/39RcWGgpQEnmKsC87;Καφές, τσίπουρο, μπύρα, τσάι;€€;;Δημόσιος δρόμος;Ναι;Unavailable;Όλο το χρόνο;Καφενείο στην πλατεία, ιδανικό για παιδιά.;Unavailable
Τσόπελα Καφενείο;Τσόπελα;Καφενείο;4.8;6946793279;Unavailable;Unavailable;https://maps.app.goo.gl/KHkFBrSHpu2rntoj9;Καφές, κρασί, τσίπουρο, μικρά πιάτα;€;;Δημόσιος δρόμος;Ναι;Unavailable;Όλο το χρόνο;Φιλόξενο καφενείο με χώρο για παιδιά και pet-friendly.;Unavailable
CAFE KIOSKI;Τσόπελα;Καφέ-μπαρ;4.0;6986090422;Unavailable;Unavailable;https://maps.app.goo.gl/Pvk8hXrUm3b25ZuB9;Καφέ, τσίπουρο, ποτό;€;;Ναι;Ναι;Όχι;Καλοκαιρινούς μήνες;Πολύ καλή θέα, ιδανικό για ηλιοβασίλεμα.;Unavailable
Κάμπος Καφεζυθεστιατόριο;Μελισσουργοί;Καφενείο;4.4;6970413616;Unavailable;Unavailable;https://maps.app.goo.gl/a6t3zGZkaM9myhSf6;Καφέ, τσίπουρο, κρασί, μπύρα;€€;;Δημόσιος δρόμος;Ναι;Unavailable;Όλο το χρόνο;Παραδοσιακό καφενείο στους Μελισσουργούς, φιλόξενο και όμορφο.;Unavailable
Καφέ Ο Μπάρος;Καλαρρύτες;Καφενείο;4.7;6945838521;Unavailable;Unavailable;https://maps.app.goo.gl/2uQvoNmKTnUYojBeA;Καφέ, τσίπουρο;€;;Όχι;Ναι;Unavailable;Όλο το χρόνο;Καφενείο στην πλατεία με όμορφη τοποθεσία.;Unavailable
PLATANOS Café Snack Grill;Πλαίσια;Καφενείο;4.7;6976076600;Unavailable;Unavailable;https://maps.app.goo.gl/jykzWbTbMtHoBkK49;Καφέ, τσίπουρο;Unavailable;;Δημόσιος δρόμος;Ναι;Unavailable;Unavailable;Φιλικό και ζεστό καφενείο στην πλατεία.;Unavailable
Ορεινό Καταφύγιο Μελισσουργών;Μελισσουργοί;Καφενείο;4.7;6974374172;Unavailable;https://www.facebook.com/Katafigiomelissourgwn;https://maps.app.goo.gl/uEKLH3YcjFDy1e3RA;Καφές, τσίπουρο;€€;;Ναι;Ναι;Unavailable;Όλο το χρόνο;Καφέ σε υπέροχη τοποθεσία μέσα στα δέντρα με θέα.;Unavailable
Καταφύγιο Πραμάντων;Πράμαντα;Καφέ;4.6;2659300645;https://www.tzoumerkarefuge.com/;Unavailable;https://maps.app.goo.gl/qHaAxNmBmKT8RerK7;Καφές, τσίπουρο;Unavailable;;Ναι;Ναι;Unavailable;Όλο το χρόνο;Καφέ με μοναδική θέα κάτω από τη Στρογγούλα.;Unavailable
Ξενοδοχείο Ορίζοντες;Τσόπελα;Καφετέρια;4.8;2659061002;https://www.orizontestzoumerkon.gr/el;Unavailable;https://maps.app.goo.gl/DrCwVs7QSMnhWhKR6;Καφές, γλυκό, κρασί;€€;;Ναι;Ναι;Ναι;Όλο το χρόνο;Καλαίσθητος χώρος ιδανικός για ηρεμία και θέα βουνών.;Unavailable
Μύλος της Κουιάσας;Καλαρρύτες;Καφέ;4.7;Unavailable;Unavailable;https://www.facebook.com/myloskouiasas;https://maps.app.goo.gl/C38rT3BcVbG8HjoHA;Καφές, χυμοί, μικρά πιάτα;€;;Δημόσιος δρόμος;Ναι;Όχι;Ιούλιος-Αύγουστος;Μικρός παράδεισος δίπλα στον ποταμό για καφέ και βουτιές.;Unavailable
